Prices for Securities Traded as of 04/05/2026
Printed 04/05/2026 16:31:08.008




    PRICES FOR EQUITY SECURITIES TRADED ON 04/05/2026
     S/N COMPANY         PCLOSE OOPEN        OPEN      HIGH     LOW %SPREAD OCLOSE      CLOSE CHANGE      %CHANGE    TRADES      VOLUME              VALUE
      1    ABBEYBDS           6.30       -     6.30     6.00     5.85    2.50    5.90     5.90    -0.40      -6.35      288      3,358,318    19,971,321.40
      2    ABCTRANS           5.20       -     5.20        -        -       -       -     5.20        -          -      487      1,483,237      7,515,310.39
      3    ACADEMY            7.05       -     7.05        -        -       -       -     7.05        -          -      159       236,497       1,583,572.50
      4    ACCESSCORP       27.00    26.05    26.05    26.30    25.00    4.94   25.50    25.50    -1.50      -5.56     5,997   204,007,563 5,276,350,340.25
      5    AFRIPRUD         13.05        -    13.05    13.05    12.80    1.92       -    13.00    -0.05      -0.38      354      2,607,506    33,785,759.45
      6    AIICO              4.31       -     4.31     4.74     4.27    9.92       -     4.74    0.43        9.98     1,538    67,107,345   306,796,439.55
      7    AIRTELAFRI     3,021.30       - 3,021.30        -        -       -       - 3,021.30        -          -        3           222        737,794.80
      8    ALEX               9.50       -     9.50        -        -       -       -     9.50        -          -       91         89,147       835,029.85
      9    ARADEL         2,024.00       - 2,024.00 1,996.00 1,996.00       -       - 1,996.00   -28.00      -1.38     5,797     3,368,573 6,731,758,403.40
      10   AUSTINLAZ          3.39       -     3.39        -        -       -       -     3.39        -          -       90       329,626       1,090,745.05
      11   BERGER           81.75        -    81.75        -        -       -       -    81.75        -          -      498       696,655     55,513,361.75
      12   BETAGLAS        598.00        -   598.00        -        -       -       -   598.00        -          -     1,631      691,244    399,287,161.90
      13   BUACEMENT       418.00        -   418.00   428.90   428.90       -       -   428.90   10.90        2.61     6,315     3,084,293 1,317,932,188.20
      14   BUAFOODS        967.00        -   967.00        -        -       -       -   967.00        -          -     2,452      316,210    296,218,550.90
      15   CADBURY          70.10        -    70.10    67.50    65.35    3.19       -    65.35    -4.75      -6.78      976      5,222,076   347,639,478.05
      16   CAP             145.20        -   145.20   159.70   159.70       -       -   159.70   14.50        9.99      669      1,194,101   188,085,250.60
      17   CAVERTON           5.90       -     5.90     6.05     5.90    2.48       -     6.00    0.10        1.69      183      1,570,188      9,397,007.05
      18   CHAMPION         13.00        -    13.00    14.30    12.95    9.44       -    14.25    1.25        9.62      382      6,248,585    82,579,321.70
      19   CHAMS              3.49    3.60     3.60     3.60     3.15   12.50       -     3.27    -0.22      -6.30     1,832    52,195,778   169,825,388.72
      20   CHELLARAM        13.20        -    13.20        -        -       -       -    13.20        -          -       92       225,483       2,827,799.10
      21   CILEASING          6.45    7.05     7.05     7.05     6.45    8.51       -     7.05    0.60        9.30      137      4,871,001    32,476,923.90
      22   CNIF            110.00        -   110.00        -        -       -       -   110.00        -          -       19         92,428    10,379,506.40
      23   CONHALLPLC         5.20    5.72     5.72     5.72     5.72       -       -     5.72    0.52       10.00       75      2,979,381    17,042,059.32
      24   CONOIL          194.00        -   194.00        -        -       -       -   194.00        -          -      408       159,776     28,522,499.10
      25   CORNERST           5.60       -     5.60     5.60     5.60       -       -     5.60        -          -      136      3,162,267    16,951,432.35




Copyright © 2021 Nigerian Exchange Limited. All Rights Reserved.                                                                         Page        1         of   8
Prices for Securities Traded as of 04/05/2026
Printed 04/05/2026 16:31:08.008




     S/N COMPANY         PCLOSE OOPEN        OPEN      HIGH     LOW %SPREAD OCLOSE       CLOSE CHANGE     %CHANGE    TRADES     VOLUME              VALUE
      26   CUSTODIAN        87.15        -    87.15    89.95    85.20    5.28        -    89.95   2.80        3.21      503     2,720,669   238,372,185.60
      27   CUTIX              3.06       -     3.06     3.21     3.04    5.30        -     3.06       -          -      429     7,349,141    22,561,224.89
      28   CWG              22.00        -    22.00    21.95    21.85    0.46        -    21.95   -0.05      -0.23      627     2,104,382    45,530,814.70
      29   DAARCOMM           1.57       -     1.57     1.69     1.50   11.24        -     1.57       -          -      261     5,542,689      8,894,752.33
      30   DANGCEM         970.00        -   970.00        -        -       -        -   970.00       -          -     5,000    1,422,752 1,406,057,592.60
      31   DANGSUGAR        69.70    76.65    76.65    76.65    76.65       -        -    76.65   6.95        9.97      892     3,080,922   236,152,671.30
      32   DEAPCAP            4.19       -     4.19     4.60     4.60       -        -     4.60   0.41        9.79      184     3,780,640    17,235,495.49
      33   ELLAHLAKES         9.95       -     9.95    10.90    10.25    5.96        -    10.90   0.95        9.55      328     5,868,155    63,266,599.50
      34   ETERNA           32.80        -    32.80    33.90    33.00    2.65        -    33.05   0.25        0.76      354     1,443,830    48,316,738.75
      35   ETI              80.60        -    80.60    80.65    80.65       -        -    80.65   0.05        0.06      446     1,741,370   138,972,471.10
      36   ETRANZACT        15.00        -    15.00    15.50    14.25    8.06        -    15.50   0.50        3.33      357     1,467,600    22,588,617.95
      37   EUNISELL        169.95        -   169.95        -        -       -        -   169.95       -          -       76       14,547       2,225,691.00
      38   FCMB             11.15    11.00    11.00    11.40    10.50    7.89    11.00    11.00   -0.15      -1.35     1,646   21,055,982   228,390,909.00
      39   FIDELITYBK       20.00        -    20.00    19.75    18.60    5.82        -    18.60   -1.40      -7.00     1,556   79,545,445 1,505,015,259.80
      40   FIDSON           98.70        -    98.70        -        -       -        -    98.70       -          -     1,920    1,140,246   114,171,976.10
      41   FIRSTHOLDCO      64.65        -    64.65    64.10    62.05    3.20        -    62.40   -2.25      -3.48     1,468   27,734,336 1,727,196,129.95
      42   FTGINSURE          1.17       -     1.17     1.20     1.11    7.50     1.14     1.14   -0.03      -2.56      184    12,578,783    14,507,226.63
      43   FTNCOCOA           5.50       -     5.50     6.05     6.05       -        -     6.05   0.55       10.00      202     3,536,509    21,395,879.45
      44   GEREGU         1,132.50       - 1,132.50        -        -       -        - 1,132.50       -          -      133         6,110      6,227,923.00
      45   GTCO            135.00        -   135.00   140.00   136.00    2.86   140.00   140.00   5.00        3.70     7,854   27,551,469 3,766,353,548.95
      46   GUINEAINS          1.15       -     1.15     1.13     1.06    6.19        -     1.06   -0.09      -7.83      193     5,497,829      6,029,739.26
      47   GUINNESS        497.00        -   497.00        -        -       -        -   497.00       -          -      402       35,498     15,878,255.40
      48   HMCALL             3.43       -     3.43     3.47     3.47       -        -     3.47   0.04        1.17       79      577,400       2,003,007.53
      49   HONYFLOUR        18.00    18.20    18.20    19.15    18.20    4.96        -    19.00   1.00        5.56      863     3,579,831    67,088,281.25
      50   IKEJAHOTEL       37.25        -    37.25        -        -       -        -    37.25       -          -      155      237,163       8,621,999.10




Copyright © 2021 Nigerian Exchange Limited. All Rights Reserved.                                                                        Page        2         of   8
Prices for Securities Traded as of 04/05/2026
Printed 04/05/2026 16:31:08.008




     S/N COMPANY         PCLOSE OOPEN       OPEN      HIGH     LOW %SPREAD OCLOSE     CLOSE CHANGE      %CHANGE    TRADES     VOLUME              VALUE
      51   IMG              42.90       -    42.90    47.00    47.00       -      -    47.00    4.10       9.56       187      810,074     34,321,186.55
      52   INFINITY          9.35       -     9.35        -        -       -      -     9.35        -          -       25      251,828       2,581,237.00
      53   INTBREW          12.10       -    12.10    12.70    11.85    6.69      -    12.70    0.60       4.96       374     3,120,683    38,602,771.45
      54   INTENEGINS        2.75       -     2.75     2.63     2.48    5.70      -     2.48    -0.27      -9.82      117     2,965,831      7,501,510.74
      55   JAIZBANK          9.40       -     9.40     9.90     9.41    4.95      -     9.70    0.30       3.19      3,577   16,365,414   158,907,553.85
      56   JAPAULGOLD        2.97       -     2.97     3.18     3.01    5.35   3.15     3.15    0.18       6.06      1,256   28,197,359    88,018,535.82
      57   JBERGER         315.00       -   315.00        -        -       -      -   315.00        -          -      538      292,882     86,979,545.50
      58   JOHNHOLT         13.85       -    13.85    15.20    13.90    8.55      -    15.20    1.35       9.75       156     2,176,638    32,148,666.15
      59   JULI              7.25       -     7.25        -        -       -      -     7.25        -          -       14       20,851        136,574.05
      60   LASACO            1.95       -     1.95     2.07     1.96    5.31      -     1.96    0.01       0.51       241    15,290,699    30,662,844.91
      61   LEARNAFRCA        9.30       -     9.30     9.30     8.45    9.14      -     8.45    -0.85      -9.14       82     2,578,699    22,159,988.70
      62   LEGENDINT         5.35       -     5.35     5.85     5.85       -      -     5.85    0.50       9.35        58      571,808       3,311,840.96
      63   LINKASSURE        1.62    1.78     1.78     1.78     1.70    4.49      -     1.74    0.12       7.41       234    31,352,595    55,696,825.02
      64   LIVESTOCK         7.95    8.70     8.70     8.70     7.45   14.37      -     7.95        -          -      489    20,154,924   168,221,486.60
      65   LIVINGTRUST       3.38       -     3.38     3.15     3.05    3.17      -     3.15    -0.23      -6.80       87     2,272,097      7,100,757.56
      66   MANSARD          14.00       -    14.00    14.05    14.00    0.36      -    14.00        -          -      314     1,347,683    19,110,847.65
      67   MAYBAKER         37.70       -    37.70    41.40    39.90    3.62      -    41.40    3.70       9.81      1,092    3,113,339   124,861,445.25
      68   MBENEFIT          4.03       -     4.03     4.26     4.00    6.10      -     4.02    -0.01      -0.25      532    11,265,560    45,573,754.72
      69   MCNICHOLS         6.72       -     6.72     7.39     7.20    2.57      -     7.20    0.48       7.14       285     7,583,151    55,849,027.76
      70   MECURE           62.90       -    62.90    61.00    58.00    4.92      -    61.00    -1.90      -3.02      522     2,395,547   143,733,201.60
      71   MEYER            15.55       -    15.55        -        -       -      -    15.55        -          -      115      746,407     11,291,367.30
      72   MORISON          10.62       -    10.62        -        -       -      -    10.62        -          -       28      134,790       1,398,935.98
